Player,No.,Birth,Pos,Age,Ht,Wt,S/C,Exp,Birth Date,Summary,Player-additional,Team
Dave Andreychuk,23,ca CA,LW,33.0,6-4,220.0,R/-,14,September 29 1963,27 G 34 A 61 P,andreda01,New Jersey Devils
Martin Brodeur,30,ca CA,G,24.0,6-2,220.0,-/L,4,May 6 1972,37-14-13 1.88 GAA,brodema01,New Jersey Devils
Neal Broten,9,us US,C,37.0,5-9,175.0,L/-,16,November 29 1959,0 G 1 A 1 P,brotene01,New Jersey Devils
Sergei Brylin,18,su SU,C,23.0,5-10,190.0,L/-,2,January 13 1974,2 G 2 A 4 P,brylise01,New Jersey Devils
Bobby Carpenter,19,us US,LW,33.0,6-0,200.0,L/-,15,July 13 1963,4 G 15 A 19 P,carpebo01,New Jersey Devils
Shawn Chambers,29,us US,D,30.0,6-2,210.0,L/-,9,October 11 1966,4 G 17 A 21 P,chambsh01,New Jersey Devils
Ken Daneyko,3,ca CA,D,32.0,6-1,215.0,L/-,13,April 17 1964,2 G 7 A 9 P,daneyke01,New Jersey Devils
Kevin Dean,28,us US,D,27.0,6-3,210.0,L/-,2,April 1 1969,2 G 4 A 6 P,deanke01,New Jersey Devils
Mike Dunham,1,us US,G,24.0,6-3,200.0,-/L,R,June 1 1972,8-7-1 2.55 GAA,dunhami01,New Jersey Devils
Patrik Eliáš,22-26,cs CS,RW,20.0,6-1,190.0,L/-,1,April 13 1976,2 G 3 A 5 P,eliaspa01,New Jersey Devils
Dave Ellett,2,us US,D,32.0,6-2,205.0,L/-,12,March 30 1964,2 G 5 A 7 P,elletda01,New Jersey Devils
Doug Gilmour,93,ca CA,C,33.0,5-11,177.0,L/-,13,June 25 1963,7 G 15 A 22 P,gilmodo01,New Jersey Devils
Bill Guerin,12,us US,RW,26.0,6-2,220.0,R/-,5,November 9 1970,29 G 18 A 47 P,gueribi01,New Jersey Devils
Bobby Holík,16,cs CS,C,26.0,6-4,230.0,R/-,6,January 1 1971,23 G 39 A 62 P,holikbo01,New Jersey Devils
John MacLean,15,ca CA,RW,32.0,6-0,200.0,R/-,12,November 20 1964,29 G 25 A 54 P,maclejo01,New Jersey Devils
Randy McKay,21,ca CA,RW,30.0,6-2,210.0,R/-,8,January 25 1967,9 G 18 A 27 P,mckayra02,New Jersey Devils
Scott Niedermayer,27,ca CA,D,23.0,6-1,194.0,L/-,5,August 31 1973,5 G 30 A 35 P,niedesc01,New Jersey Devils
Lyle Odelein,24,ca CA,D,28.0,6-0,210.0,R/-,7,July 21 1968,3 G 13 A 16 P,odelely01,New Jersey Devils
Krzysztof Oliwa,26,pl PL,LW,23.0,6-5,245.0,L/-,R,April 12 1973,0 G 0 A 0 P,oliwakr01,New Jersey Devils
Jay Pandolfo,20,us US,LW,22.0,6-1,190.0,L/-,R,December 27 1974,6 G 8 A 14 P,pandoja01,New Jersey Devils
Denis Pederson,10,ca CA,C,21.0,6-2,205.0,R/-,1,September 10 1975,12 G 20 A 32 P,pederde01,New Jersey Devils
Mike Peluso,8,us US,RW,31.0,6-4,225.0,L/-,7,November 8 1965,0 G 2 A 2 P,pelusmi01,New Jersey Devils
Ricard Persson,5,se SE,D,27.0,6-1,201.0,L/-,1,August 24 1969,0 G 0 A 0 P,perssri01,New Jersey Devils
Jeff Reese,35,ca CA,G,30.0,5-9,180.0,-/L,9,March 24 1966,0-2-0 5.62 GAA,reeseje01,New Jersey Devils
Pascal Rhéaume,8,ca CA,C,23.0,6-1,210.0,L/-,R,June 21 1973,1 G 0 A 1 P,rheaupa01,New Jersey Devils
Brian Rolston,14,us US,LW,23.0,6-2,215.0,L/-,2,February 21 1973,18 G 27 A 45 P,rolstbr01,New Jersey Devils
Vadim Sharifijanov,9,su SU,RW,21.0,6-0,205.0,L/-,R,December 23 1975,0 G 0 A 0 P,shariva01,New Jersey Devils
Reid Simpson,33,ca CA,LW,27.0,6-2,216.0,L/-,4,May 21 1969,0 G 4 A 4 P,simpsre01,New Jersey Devils
Jason Smith,26,ca CA,D,23.0,6-3,220.0,R/-,3,November 2 1973,1 G 2 A 3 P,smithja01,New Jersey Devils
Scott Stevens (C),4,ca CA,D,32.0,6-2,215.0,L/-,14,April 1 1964,5 G 19 A 24 P,stevesc01,New Jersey Devils
Steve Sullivan,11,ca CA,C,22.0,5-9,165.0,R/-,1,July 6 1974,8 G 14 A 22 P,sullist01,New Jersey Devils
Petr Sýkora,17,cs CS,C,20.0,6-0,190.0,L/-,1,November 19 1976,1 G 2 A 3 P,sykorpe01,New Jersey Devils
Steve Thomas,32,gb GB,RW,33.0,5-10,185.0,L/-,12,July 15 1963,15 G 19 A 34 P,thomast01,New Jersey Devils
Valeri Zelepukin,25,su SU,LW,28.0,6-1,200.0,L/-,5,September 17 1968,14 G 24 A 38 P,zelepva01,New Jersey Devils
Peter Zezel,22,ca CA,C,31.0,5-11,220.0,L/-,12,April 22 1965,0 G 3 A 3 P,zezelpe01,New Jersey Devils
Donald Audette,28,ca CA,RW,27.0,8-May,190.0,R/-,6,September 23 1969,28 G 22 A 50 P,audetdo01,Buffalo Sabres
Matthew Barnaby,36,ca CA,RW,23.0,Jun-00,189.0,L/-,4,May 4 1973,19 G 24 A 43 P,barnama01,Buffalo Sabres
Bob Boughner,46,ca CA,D,25.0,Jun-00,203.0,R/-,1,March 8 1971,1 G 7 A 8 P,boughbo01,Buffalo Sabres
Curtis Brown,37,ca CA,C,20.0,Jun-00,200.0,L/-,2,February 12 1976,4 G 3 A 7 P,browncu01,Buffalo Sabres
Randy Burridge,12,ca CA,LW,31.0,9-May,188.0,L/-,11,January 7 1966,10 G 21 A 31 P,burrira01,Buffalo Sabres
Jason Dawe,17-43,ca CA,RW,23.0,10-May,189.0,L/-,3,May 29 1973,22 G 26 A 48 P,daweja01,Buffalo Sabres
Garry Galley,3,ca CA,D,33.0,Jun-00,202.0,L/-,12,April 16 1963,4 G 34 A 38 P,gallega01,Buffalo Sabres
Michal Grošek,18,cs CS,LW,21.0,2-Jun,207.0,R/-,3,June 1 1975,15 G 21 A 36 P,grosemi01,Buffalo Sabres
Dominik Hašek,39,cs CS,G,32.0,1-Jun,166.0,-/L,6,January 29 1965,37-20-10 2.27 GAA,hasekdo01,Buffalo Sabres
Brian Holzinger,19,us US,C,24.0,11-May,186.0,R/-,2,October 10 1972,22 G 29 A 51 P,holzibr01,Buffalo Sabres
Charlie Huddy,22,ca CA,D,37.0,Jun-00,210.0,L/-,16,June 2 1959,0 G 0 A 0 P,huddych01,Buffalo Sabres
Pat LaFontaine (C),16,us US,C,31.0,10-May,182.0,R/-,13,February 22 1965,2 G 6 A 8 P,lafonpa01,Buffalo Sabres
