Team,Year,Team ID,Split,G,Att,Comp,Pct.,Yards,Yards/Att,TD,Int,Rating,Att/G,Yards/G
Air Force,2024,721,All Games,12,289,187,64.7,2262,7.8,12,4,141.39,24.1,188.5
Air Force,2023,721,All Games,13,350,216,61.7,2429,6.9,18,10,131.27,26.9,186.8
Air Force,2022,721,All Games,13,291,170,58.4,2068,7.1,10,9,123.27,22.4,159.1
Akron,2024,5,All Games,12,343,221,64.4,2773,8.1,24,3,153.68,28.6,231.1
Akron,2023,5,All Games,12,333,186,55.9,2247,6.7,19,6,127.77,27.8,187.3
Akron,2022,5,All Games,12,355,213,60.0,2925,8.2,22,9,144.59,29.6,243.8
Alabama,2024,8,All Games,13,395,236,59.7,2369,6.0,13,17,112.37,30.4,182.2
Alabama,2023,8,All Games,14,413,245,59.3,2675,6.5,17,12,121.50,29.5,191.1
Alabama,2022,8,All Games,13,434,238,54.8,2442,5.6,12,7,108.00,33.4,187.8
Appalachian State,2024,27,All Games,11,282,194,68.8,2363,8.4,20,4,159.73,25.6,214.8
Appalachian State,2023,27,All Games,14,422,258,61.1,2804,6.6,15,15,121.58,30.1,200.3
Appalachian State,2022,27,All Games,12,365,218,59.7,2636,7.2,18,7,132.83,30.4,219.7
Arizona,2024,29,All Games,12,355,226,63.7,2868,8.1,22,8,147.46,29.6,239.0
Arizona,2023,29,All Games,13,433,258,59.6,3116,7.2,15,9,127.30,33.3,239.7
Arizona,2022,29,All Games,12,402,280,69.7,3103,7.7,25,4,153.02,33.5,258.6
Arizona State,2024,28,All Games,14,479,283,59.1,3174,6.6,19,16,121.15,34.2,226.7
Arizona State,2023,28,All Games,12,419,271,64.7,3160,7.5,28,5,147.69,34.9,263.3
Arizona State,2022,28,All Games,12,406,246,60.6,2801,6.9,14,11,124.50,33.8,233.4
Arkansas,2024,31,All Games,13,418,259,62.0,3210,7.7,22,10,139.05,32.2,246.9
Arkansas,2023,31,All Games,12,318,192,60.4,2433,7.7,23,12,140.97,26.5,202.8
Arkansas,2022,31,All Games,13,449,275,61.2,3831,8.5,24,9,146.55,34.5,294.7
Arkansas State,2024,30,All Games,13,389,245,63.0,3251,8.4,23,14,145.49,29.9,250.1
Arkansas State,2023,30,All Games,13,431,296,68.7,3372,7.8,25,8,149.83,33.2,259.4
Arkansas State,2022,30,All Games,12,351,212,60.4,2912,8.3,25,6,150.18,29.3,242.7
Army,2024,725,All Games,14,402,253,62.9,2603,6.5,16,18,121.50,28.7,185.9
Army,2023,725,All Games,12,310,190,61.3,2255,7.3,16,9,133.61,25.8,187.9
Army,2022,725,All Games,12,275,167,60.7,1920,7.0,15,10,130.11,22.9,160.0
Auburn,2024,37,All Games,12,354,199,56.2,2556,7.2,12,8,123.54,29.5,213.0
Auburn,2023,37,All Games,13,359,212,59.1,2628,7.3,19,12,131.31,27.6,202.2
Auburn,2022,37,All Games,12,412,238,57.8,2671,6.5,15,6,121.34,34.3,222.6
BYU,2024,77,All Games,13,392,217,55.4,2372,6.1,13,22,105.91,30.2,182.5
BYU,2023,77,All Games,12,408,250,61.3,2880,7.1,21,14,130.71,34.0,240.0
BYU,2022,77,All Games,13,408,273,66.9,3046,7.5,25,8,145.92,31.4,234.3
Ball State,2024,47,All Games,12,376,233,62.0,3355,8.9,37,8,165.13,31.3,279.6
Ball State,2023,47,All Games,12,357,215,60.2,2451,6.9,17,5,130.80,29.8,204.3
Ball State,2022,47,All Games,12,416,241,57.9,2593,6.2,17,7,120.41,34.7,216.1
Baylor,2024,51,All Games,13,393,237,60.3,3044,7.7,22,14,136.73,30.2,234.2
Baylor,2023,51,All Games,12,328,213,64.9,2837,8.6,22,7,155.45,27.3,236.4
Baylor,2022,51,All Games,13,402,245,60.9,2896,7.2,17,13,128.95,30.9,222.8
Boise State,2024,66,All Games,14,451,273,60.5,3380,7.5,24,7,137.94,32.2,241.4
Boise State,2023,66,All Games,14,441,268,60.8,3505,7.9,19,11,136.76,31.5,250.4
Boise State,2022,66,All Games,14,362,187,51.7,2348,6.5,13,15,109.70,25.9,167.7
Boston College,2024,67,All Games,13,441,271,61.5,3195,7.2,17,17,127.32,33.9,245.8
Boston College,2023,67,All Games,13,334,194,58.1,2563,7.7,19,8,136.52,25.7,197.2
Boston College,2022,67,All Games,12,348,205,58.9,2534,7.3,19,7,134.08,29.0,211.2
Bowling Green,2024,71,All Games,13,370,214,57.8,2410,6.5,17,12,121.23,28.5,185.4
Bowling Green,2023,71,All Games,13,340,202,59.4,2338,6.9,21,17,127.55,26.2,179.8
Bowling Green,2022,71,All Games,13,434,281,64.7,3259,7.5,29,10,145.27,33.4,250.7
Buffalo,2024,86,All Games,13,439,269,61.3,3187,7.3,25,13,135.13,33.8,245.2
Buffalo,2023,86,All Games,12,327,207,63.3,2246,6.9,18,11,132.44,27.3,187.2
Buffalo,2022,86,All Games,13,410,234,57.1,2949,7.2,19,13,126.44,31.5,226.8
California,2024,107,All Games,13,442,250,56.6,2959,6.7,17,17,117.80,34.0,227.6
California,2023,107,All Games,13,486,306,63.0,3649,7.5,30,12,141.46,37.4,280.7
California,2022,107,All Games,12,457,300,65.6,3354,7.3,23,11,139.10,38.1,279.5
Central Michigan,2024,129,All Games,12,328,197,60.1,2326,7.1,17,2,135.50,27.3,193.8
Central Michigan,2023,129,All Games,12,360,223,61.9,2967,8.2,20,5,146.72,30.0,247.3
Central Michigan,2022,129,All Games,12,386,230,59.6,2647,6.9,21,4,133.08,32.2,220.6
Cincinnati,2024,140,All Games,12,348,213,61.2,2673,7.7,16,5,138.03,29.0,222.8
Cincinnati,2023,140,All Games,12,328,186,56.7,2710,8.3,20,8,141.35,27.3,225.8
Cincinnati,2022,140,All Games,13,392,215,54.8,2369,6.0,15,11,112.63,30.2,182.2
Clemson,2024,147,All Games,14,467,263,56.3,2989,6.4,22,16,118.78,33.4,213.5
Clemson,2023,147,All Games,13,401,212,52.9,2252,5.6,13,16,102.76,30.8,173.2
Clemson,2022,147,All Games,14,488,299,61.3,3244,6.6,21,13,125.98,34.9,231.7
Colorado,2024,157,All Games,13,393,229,58.3,2607,6.6,16,15,119.80,30.2,200.5
Colorado,2023,157,All Games,12,417,269,64.5,3323,8.0,28,10,148.81,34.8,276.9
Colorado,2022,157,All Games,12,365,245,67.1,3176,8.7,31,6,164.95,30.4,264.7
Colorado State,2024,156,All Games,13,428,262,61.2,3051,7.1,20,10,131.85,32.9,234.7
Colorado State,2023,156,All Games,12,389,278,71.5,2996,7.7,20,9,148.51,32.4,249.7
Colorado State,2022,156,All Games,12,355,219,61.7,2297,6.5,15,8,125.47,29.6,191.4
Connecticut,2024,164,All Games,13,433,268,61.9,2795,6.5,16,10,123.68,33.3,215.0
Connecticut,2023,164,All Games,12,378,256,67.7,3106,8.2,19,6,150.17,31.5,258.8
Connecticut,2022,164,All Games,13,396,248,62.6,2740,6.9,15,13,126.68,30.5,210.8
Duke,2024,193,All Games,13,424,246,58.0,2775,6.5,19,13,121.66,32.6,213.5
Duke,2023,193,All Games,13,417,260,62.4,2740,6.6,11,10,121.46,32.1,210.8
Duke,2022,193,All Games,13,465,283,60.9,3345,7.2,25,10,134.73,35.8,257.3
East Carolina,2024,196,All Games,13,425,255,60.0,3059,7.2,24,14,132.51,32.7,235.3
East Carolina,2023,196,All Games,12,345,210,60.9,2630,7.6,19,6,139.59,28.8,219.2
East Carolina,2022,196,All Games,13,437,289,66.1,3806,8.7,27,11,154.65,33.6,292.8
Eastern Michigan,2024,204,All Games,12,309,197,63.8,2651,8.6,22,5,156.07,25.8,220.9
Eastern Michigan,2023,204,All Games,13,387,228,58.9,2769,7.2,17,8,129.39,29.8,213.0
Eastern Michigan,2022,204,All Games,13,400,226,56.5,2872,7.2,23,13,129.29,30.8,220.9
Florida,2024,235,All Games,13,421,244,58.0,2957,7.0,18,14,124.42,32.4,227.5
Florida,2023,235,All Games,12,326,195,59.8,2720,8.3,18,3,146.29,27.2,226.7
Florida,2022,235,All Games,13,396,240,60.6,3065,7.7,17,9,135.25,30.5,235.8
Florida Atlantic,2024,229,All Games,12,378,211,55.8,2798,7.4,25,11,134.01,31.5,233.2
Florida Atlantic,2023,229,All Games,12,412,263,63.8,2977,7.2,23,10,138.11,34.3,248.1
Florida Atlantic,2022,229,All Games,12,405,245,60.5,2949,7.3,25,12,136.09,33.8,245.8
Florida International,2024,231,All Games,12,357,211,59.1,2155,6.0,9,11,111.96,29.8,179.6
Florida International,2023,231,All Games,12,389,241,62.0,2950,7.6,26,6,144.64,32.4,245.8
Florida International,2022,231,All Games,12,404,266,65.8,3122,7.7,24,7,146.90,33.7,260.2
Florida State,2024,234,All Games,12,326,204,62.6,2415,7.4,16,4,138.56,27.2,201.3
Florida State,2023,234,All Games,14,416,201,48.3,2516,6.0,12,10,103.83,29.7,179.7
Florida State,2022,234,All Games,13,349,197,56.4,2150,6.2,18,8,120.63,26.8,165.4
Fresno State,2024,96,All Games,13,469,256,54.6,2811,6.0,21,15,113.31,36.1,216.2
Fresno State,2023,96,All Games,13,402,223,55.5,2661,6.6,19,17,118.21,30.9,204.7
Fresno State,2022,96,All Games,14,434,232,53.5,2650,6.1,14,12,109.87,31.0,189.3
Georgia,2024,257,All Games,14,426,251,58.9,2803,6.6,14,8,121.27,30.4,200.2
Georgia,2023,257,All Games,14,427,234,54.8,2456,5.8,13,14,106.61,30.5,175.4
Georgia,2022,257,All Games,15,511,294,57.5,3296,6.5,15,12,116.70,34.1,219.7
Georgia Southern,2024,253,All Games,13,438,277,63.2,3362,7.7,21,13,137.60,33.7,258.6
Georgia Southern,2023,253,All Games,13,396,249,62.9,3049,7.7,20,13,137.65,30.5,234.5
Georgia Southern,2022,253,All Games,13,433,254,58.7,3339,7.7,19,11,132.83,33.3,256.8
Georgia State,2024,254,All Games,12,323,204,63.2,2500,7.7,22,9,145.09,26.9,208.3
Georgia State,2023,254,All Games,13,437,284,65.0,3633,8.3,30,11,152.45,33.6,279.5
Georgia State,2022,254,All Games,12,360,217,60.3,2746,7.6,22,13,137.31,30.0,228.8
Georgia Tech,2024,255,All Games,13,401,253,63.1,2869,7.2,24,5,140.45,30.8,220.7
Georgia Tech,2023,255,All Games,13,368,225,61.1,2805,7.6,18,14,133.69,28.3,215.8
Georgia Tech,2022,255,All Games,12,366,213,58.2,2549,7.0,17,11,126.02,30.5,212.4
Hawaii,2024,277,All Games,12,366,239,65.3,2535,6.9,18,6,136.43,30.5,211.3
Hawaii,2023,277,All Games,13,331,204,61.6,2787,8.4,24,7,152.06,25.5,214.4
Hawaii,2022,277,All Games,13,368,235,63.9,2923,7.9,21,10,143.98,28.3,224.8
Houston,2024,288,All Games,12,333,199,59.8,2266,6.8,18,12,127.55,27.8,188.8
Houston,2023,288,All Games,12,384,263,68.5,3064,8.0,21,9,148.87,32.0,255.3
Houston,2022,288,All Games,13,479,304,63.5,3622,7.6,32,8,145.70,36.8,278.6
Illinois,2024,301,All Games,13,444,262,59.0,2922,6.6,19,12,123.00,34.2,224.8
Illinois,2023,301,All Games,12,399,241,60.4,2737,6.9,22,7,132.71,33.3,228.1
Illinois,2022,301,All Games,13,415,213,51.3,2259,5.4,9,24,92.64,31.9,173.8
Indiana,2024,306,All Games,13,397,248,62.5,2289,5.8,11,15,112.48,30.5,176.1
Indiana,2023,306,All Games,12,365,222,60.8,2854,7.8,25,10,143.62,30.4,237.8
