Team,Year,Team ID,Pos,Ht,Wt
Air Force,2024,721,C,"6'3""",310
Air Force,2024,721,CB,"6'1""",185
Air Force,2024,721,DB,"6'1""",210
Air Force,2024,721,DB,"6'2""",185
Air Force,2024,721,DB,"5'11""",200
Air Force,2024,721,DB,"6'2""",205
Air Force,2024,721,DB,"6'1""",200
Air Force,2024,721,DB,"6'0""",215
Air Force,2024,721,DB,"6'4""",200
Air Force,2024,721,DB,"6'1""",215
Air Force,2024,721,DB,"6'1""",205
Air Force,2024,721,DB,"6'0""",195
Air Force,2024,721,DB,"6'2""",205
Air Force,2024,721,DB,"6'2""",200
Air Force,2024,721,DB,"6'1""",215
Air Force,2024,721,DB,"5'10""",175
Air Force,2024,721,DE,"6'5""",255
Air Force,2024,721,DE,"6'7""",270
Air Force,2024,721,DL,"6'2""",285
Air Force,2024,721,DL,"6'0""",280
Air Force,2024,721,DL,"6'3""",290
Air Force,2024,721,DL,"6'0""",280
Air Force,2024,721,DL,"6'0""",275
Air Force,2024,721,DT,"6'4""",275
Air Force,2024,721,FB,"5'10""",215
Air Force,2024,721,FB,"6'0""",225
Air Force,2024,721,FB,"6'0""",245
Air Force,2024,721,FB,"6'1""",220
Air Force,2024,721,ILB,"6'1""",225
Air Force,2024,721,ILB,"6'3""",220
Air Force,2024,721,ILB,"6'0""",210
Air Force,2024,721,ILB,"6'2""",225
Air Force,2024,721,ILB,"6'3""",240
Air Force,2024,721,ILB,"5'11""",225
Air Force,2024,721,LB,"6'4""",240
Air Force,2024,721,LB,"6'3""",235
Air Force,2024,721,LB,"6'3""",235
Air Force,2024,721,LB,"6'1""",215
Air Force,2024,721,LB,"6'1""",225
Air Force,2024,721,LB,"6'2""",215
Air Force,2024,721,LB,"6'1""",225
Air Force,2024,721,LB,"6'4""",235
Air Force,2024,721,LB,"6'0""",220
Air Force,2024,721,LB,"6'2""",245
Air Force,2024,721,LS,"6'0""",205
Air Force,2024,721,LS,"6'1""",200
Air Force,2024,721,NG,"6'3""",265
Air Force,2024,721,NG,"6'4""",270
Air Force,2024,721,OC,"6'3""",275
Air Force,2024,721,OG,"6'4""",285
Air Force,2024,721,OG,"6'3""",285
Air Force,2024,721,OL,"6'3""",290
Air Force,2024,721,OL,"6'5""",295
Air Force,2024,721,OL,"6'4""",305
Air Force,2024,721,OL,"6'4""",280
Air Force,2024,721,OL,"6'3""",300
Air Force,2024,721,OL,"6'3""",270
Air Force,2024,721,OL,"6'4""",300
Air Force,2024,721,OL,"6'4""",275
Air Force,2024,721,OL,"6'2""",290
Air Force,2024,721,OL,"6'3""",310
Air Force,2024,721,OL,"6'3""",295
Air Force,2024,721,OLB,"6'2""",235
Air Force,2024,721,OLB,"5'11""",205
Air Force,2024,721,OLB,"6'4""",245
Air Force,2024,721,OLB,"6'3""",240
Air Force,2024,721,OT,"6'3""",275
Air Force,2024,721,OT,"6'2""",265
Air Force,2024,721,P,"5'11""",165
Air Force,2024,721,P,"6'4""",225
Air Force,2024,721,P,"6'2""",200
Air Force,2024,721,PK,"6'0""",190
Air Force,2024,721,PK,"6'2""",195
Air Force,2024,721,PK,"5'11""",195
Air Force,2024,721,PK,"6'0""",180
Air Force,2024,721,QB,"6'2""",200
Air Force,2024,721,QB,"6'0""",195
Air Force,2024,721,QB,"6'2""",190
Air Force,2024,721,QB,"6'1""",190
Air Force,2024,721,RB,"5'11""",215
Air Force,2024,721,RB,"5'10""",205
Air Force,2024,721,RB,"6'0""",215
Air Force,2024,721,RB,"5'9""",185
Air Force,2024,721,RB,"5'8""",190
Air Force,2024,721,RB,"5'9""",190
Air Force,2024,721,RB,"5'8""",170
Air Force,2024,721,RB,"5'10""",195
Air Force,2024,721,RB,"5'11""",215
Air Force,2024,721,RB,"5'7""",170
Air Force,2024,721,RB,"5'10""",185
Air Force,2024,721,TE,"6'5""",235
Air Force,2024,721,TE,"6'8""",250
Air Force,2024,721,TE,"6'6""",245
Air Force,2024,721,TE,"6'6""",225
Air Force,2024,721,WR,"5'10""",165
Air Force,2024,721,WR,"6'2""",190
Air Force,2024,721,WR,"6'0""",195
Air Force,2024,721,WR,"6'2""",200
Air Force,2024,721,WR,"5'8""",185
Air Force,2024,721,WR,"6'0""",185
Air Force,2024,721,WR,"6'3""",180
Air Force,2024,721,WR,"5'8""",180
Air Force,2024,721,WR,"5'9""",180
Air Force,2024,721,WR,"6'2""",205
Air Force,2024,721,WR,"6'0""",190
Air Force,2024,721,WR,"5'10""",180
Air Force,2024,721,WR,"6'1""",200
Air Force,2024,721,WR,"6'2""",195
Air Force,2024,721,WR,"6'1""",185
Air Force,2024,721,WR,"6'2""",185
Akron,2024,5,CB,"6'0""",200
Akron,2024,5,CB,"5'10""",180
Akron,2024,5,CB,"6'0""",195
Akron,2024,5,CB,"6'0""",185
Akron,2024,5,CB,"5'10""",190
Akron,2024,5,DB,"6'2""",200
Akron,2024,5,DB,"5'10""",200
Akron,2024,5,DB,"5'11""",165
Akron,2024,5,DB,"5'10""",190
Akron,2024,5,DB,"6'2""",175
Akron,2024,5,DB,"6'2""",205
Akron,2024,5,DB,"5'10""",160
Akron,2024,5,DB,"6'3""",190
Akron,2024,5,DB,"5'9""",200
Akron,2024,5,DB,"5'11""",180
Akron,2024,5,DE,"6'2""",215
Akron,2024,5,DE,"6'3""",220
Akron,2024,5,DE,"6'4""",250
Akron,2024,5,DL,"6'3""",265
Akron,2024,5,DL,"6'1""",295
Akron,2024,5,DL,"6'3""",235
Akron,2024,5,DL,"6'7""",250
Akron,2024,5,DL,"6'1""",280
Akron,2024,5,DL,"6'3""",245
Akron,2024,5,DL,"6'2""",310
Akron,2024,5,DL,"6'4""",285
Akron,2024,5,DL,"6'1""",300
Akron,2024,5,DL,"6'3""",290
Akron,2024,5,DL,"6'4""",260
Akron,2024,5,DL,"6'1""",310
Akron,2024,5,DL,"6'2""",315
Akron,2024,5,DL,"6'3""",240
Akron,2024,5,DL,"6'2""",310
Akron,2024,5,DL,"6'5""",235
Akron,2024,5,K,"5'9""",210
Akron,2024,5,K,"5'9""",170
Akron,2024,5,K,"5'10""",185
Akron,2024,5,K,"6'0""",180
Akron,2024,5,LB,"6'1""",215
Akron,2024,5,LB,"6'2""",220
Akron,2024,5,LB,"6'0""",235
Akron,2024,5,LB,"6'0""",245
