Team,Year,Team ID,Split,G,Att,Yards,Avg.,TD,Att/G,Yards/G
Air Force,2024,721,All Games,12,403,1841,4.57,23,33.58,153.42
Air Force,2023,721,All Games,13,388,1181,3.04,11,29.85,90.85
Air Force,2022,721,All Games,13,366,1239,3.39,10,28.15,95.31
Akron,2024,5,All Games,12,476,2200,4.62,23,39.67,183.33
Akron,2023,5,All Games,12,443,1773,4.00,23,36.92,147.75
Akron,2022,5,All Games,12,458,1949,4.26,25,38.17,162.42
Alabama,2024,8,All Games,13,487,1792,3.68,10,37.46,137.85
Alabama,2023,8,All Games,14,470,1749,3.72,15,33.57,124.93
Alabama,2022,8,All Games,13,467,1695,3.63,15,35.92,130.38
Appalachian State,2024,27,All Games,11,411,2174,5.29,24,37.36,197.64
Appalachian State,2023,27,All Games,14,502,2498,4.98,28,35.86,178.43
Appalachian State,2022,27,All Games,12,420,1544,3.68,20,35.00,128.67
Arizona,2024,29,All Games,12,430,2088,4.86,25,35.83,174.00
Arizona,2023,29,All Games,13,422,1537,3.64,19,32.46,118.23
Arizona,2022,29,All Games,12,449,2509,5.59,33,37.42,209.08
Arizona State,2024,28,All Games,14,430,1581,3.68,19,30.71,112.93
Arizona State,2023,28,All Games,12,381,1602,4.20,16,31.75,133.50
Arizona State,2022,28,All Games,12,435,2257,5.19,31,36.25,188.08
Arkansas,2024,31,All Games,13,463,1679,3.63,15,35.62,129.15
Arkansas,2023,31,All Games,12,437,1853,4.24,13,36.42,154.42
Arkansas,2022,31,All Games,13,487,2211,4.54,26,37.46,170.08
Arkansas State,2024,30,All Games,13,483,2752,5.70,32,37.15,211.69
Arkansas State,2023,30,All Games,13,505,2395,4.74,22,38.85,184.23
Arkansas State,2022,30,All Games,12,484,1949,4.03,23,40.33,162.42
Army,2024,725,All Games,14,381,1568,4.12,12,27.21,112.00
Army,2023,725,All Games,12,433,2115,4.88,15,36.08,176.25
Army,2022,725,All Games,12,473,2388,5.05,19,39.42,199.00
Auburn,2024,37,All Games,12,459,1413,3.08,18,38.25,117.75
Auburn,2023,37,All Games,13,463,2015,4.35,15,35.62,155.00
Auburn,2022,37,All Games,12,447,2072,4.64,28,37.25,172.67
BYU,2024,77,All Games,13,426,1642,3.85,18,32.77,126.31
BYU,2023,77,All Games,12,439,2132,4.86,18,36.58,177.67
BYU,2022,77,All Games,13,497,2245,4.52,22,38.23,172.69
Ball State,2024,47,All Games,12,404,2104,5.21,24,33.67,175.33
Ball State,2023,47,All Games,12,375,1339,3.57,15,31.25,111.58
Ball State,2022,47,All Games,12,531,2198,4.14,23,44.25,183.17
Baylor,2024,51,All Games,13,491,1976,4.02,16,37.77,152.00
Baylor,2023,51,All Games,12,440,2219,5.04,27,36.67,184.92
Baylor,2022,51,All Games,13,496,1927,3.89,25,38.15,148.23
Boise State,2024,66,All Games,14,453,1712,3.78,15,32.36,122.29
Boise State,2023,66,All Games,14,451,1887,4.18,23,32.21,134.79
Boise State,2022,66,All Games,14,499,1744,3.49,16,35.64,124.57
Boston College,2024,67,All Games,13,413,1494,3.62,16,31.77,114.92
Boston College,2023,67,All Games,13,462,2443,5.29,30,35.54,187.92
Boston College,2022,67,All Games,12,458,2009,4.39,25,38.17,167.42
Bowling Green,2024,71,All Games,13,443,1897,4.28,14,34.08,145.92
Bowling Green,2023,71,All Games,13,469,1901,4.05,16,36.08,146.23
Bowling Green,2022,71,All Games,13,504,2196,4.36,22,38.77,168.92
Buffalo,2024,86,All Games,13,467,1906,4.08,17,35.92,146.62
Buffalo,2023,86,All Games,12,433,2159,4.99,19,36.08,179.92
Buffalo,2022,86,All Games,13,437,2193,5.02,23,33.62,168.69
California,2024,107,All Games,13,437,1428,3.27,19,33.62,109.85
California,2023,107,All Games,13,456,1734,3.80,23,35.08,133.38
California,2022,107,All Games,12,426,1795,4.21,19,35.50,149.58
Central Michigan,2024,129,All Games,12,445,2037,4.58,20,37.08,169.75
Central Michigan,2023,129,All Games,12,411,1918,4.67,24,34.25,159.83
Central Michigan,2022,129,All Games,12,478,1831,3.83,20,39.83,152.58
Cincinnati,2024,140,All Games,12,414,1952,4.71,15,34.50,162.67
Cincinnati,2023,140,All Games,12,397,2123,5.35,24,33.08,176.92
Cincinnati,2022,140,All Games,13,553,1992,3.60,18,42.54,153.23
Clemson,2024,147,All Games,14,477,2249,4.71,18,34.07,160.64
Clemson,2023,147,All Games,13,396,1490,3.76,17,30.46,114.62
Clemson,2022,147,All Games,14,442,1438,3.25,12,31.57,102.71
