School,Link
Air Force,https://www.sports-reference.com/cfb/schools/air-force/
Akron,https://www.sports-reference.com/cfb/schools/akron/
Alabama,https://www.sports-reference.com/cfb/schools/alabama/
Appalachian State,https://www.sports-reference.com/cfb/schools/appalachian-state/
Arizona,https://www.sports-reference.com/cfb/schools/arizona/
Arizona State,https://www.sports-reference.com/cfb/schools/arizona-state/
Arkansas,https://www.sports-reference.com/cfb/schools/arkansas/
Arkansas State,https://www.sports-reference.com/cfb/schools/arkansas-state/
Army,https://www.sports-reference.com/cfb/schools/army/
Auburn,https://www.sports-reference.com/cfb/schools/auburn/
Ball State,https://www.sports-reference.com/cfb/schools/ball-state/
Baylor,https://www.sports-reference.com/cfb/schools/baylor/
Boise State,https://www.sports-reference.com/cfb/schools/boise-state/
Boston College,https://www.sports-reference.com/cfb/schools/boston-college/
Bowling Green,https://www.sports-reference.com/cfb/schools/bowling-green-state/
Buffalo,https://www.sports-reference.com/cfb/schools/buffalo/
BYU,https://www.sports-reference.com/cfb/schools/brigham-young/
California,https://www.sports-reference.com/cfb/schools/california/
Central Michigan,https://www.sports-reference.com/cfb/schools/central-michigan/
Cincinnati,https://www.sports-reference.com/cfb/schools/cincinnati/
Clemson,https://www.sports-reference.com/cfb/schools/clemson/
Colorado,https://www.sports-reference.com/cfb/schools/colorado/
Colorado State,https://www.sports-reference.com/cfb/schools/colorado-state/
Connecticut,https://www.sports-reference.com/cfb/schools/connecticut/
Duke,https://www.sports-reference.com/cfb/schools/duke/
East Carolina,https://www.sports-reference.com/cfb/schools/east-carolina/
Eastern Michigan,https://www.sports-reference.com/cfb/schools/eastern-michigan/
Florida,https://www.sports-reference.com/cfb/schools/florida/
Florida Atlantic,https://www.sports-reference.com/cfb/schools/florida-atlantic/
Florida International,https://www.sports-reference.com/cfb/schools/florida-international/
Florida State,https://www.sports-reference.com/cfb/schools/florida-state/
Fresno State,https://www.sports-reference.com/cfb/schools/fresno-state/
