School,Year,W,L,Pct,Year Link
Air Force,2024,5,7,.417,https://www.sports-reference.com/cfb/schools/air-force/2024.html
Air Force,2023,9,4,.692,https://www.sports-reference.com/cfb/schools/air-force/2023.html
Air Force,2022,10,3,.769,https://www.sports-reference.com/cfb/schools/air-force/2022.html
Akron,2024,4,8,.333,https://www.sports-reference.com/cfb/schools/akron/2024.html
Akron,2023,2,10,.167,https://www.sports-reference.com/cfb/schools/akron/2023.html
Akron,2022,2,10,.167,https://www.sports-reference.com/cfb/schools/akron/2022.html
Alabama,2024,9,4,.692,https://www.sports-reference.com/cfb/schools/alabama/2024.html
Alabama,2023,12,2,.857,https://www.sports-reference.com/cfb/schools/alabama/2023.html
Alabama,2022,11,2,.846,https://www.sports-reference.com/cfb/schools/alabama/2022.html
Appalachian State,2024,5,6,.455,https://www.sports-reference.com/cfb/schools/appalachian-state/2024.html
Appalachian State,2023,9,5,.643,https://www.sports-reference.com/cfb/schools/appalachian-state/2023.html
Appalachian State,2022,6,6,.500,https://www.sports-reference.com/cfb/schools/appalachian-state/2022.html
Arizona,2024,4,8,.333,https://www.sports-reference.com/cfb/schools/arizona/2024.html
Arizona,2023,10,3,.769,https://www.sports-reference.com/cfb/schools/arizona/2023.html
Arizona,2022,5,7,.417,https://www.sports-reference.com/cfb/schools/arizona/2022.html
Arizona State,2024,11,3,.786,https://www.sports-reference.com/cfb/schools/arizona-state/2024.html
Arizona State,2023,3,9,.250,https://www.sports-reference.com/cfb/schools/arizona-state/2023.html
Arizona State,2022,3,9,.250,https://www.sports-reference.com/cfb/schools/arizona-state/2022.html
Arkansas,2024,7,6,.538,https://www.sports-reference.com/cfb/schools/arkansas/2024.html
Arkansas,2023,4,8,.333,https://www.sports-reference.com/cfb/schools/arkansas/2023.html
Arkansas,2022,7,6,.538,https://www.sports-reference.com/cfb/schools/arkansas/2022.html
Arkansas State,2024,8,5,.615,https://www.sports-reference.com/cfb/schools/arkansas-state/2024.html
Arkansas State,2023,6,7,.462,https://www.sports-reference.com/cfb/schools/arkansas-state/2023.html
Arkansas State,2022,3,9,.250,https://www.sports-reference.com/cfb/schools/arkansas-state/2022.html
Army,2024,12,2,.857,https://www.sports-reference.com/cfb/schools/army/2024.html
Army,2023,6,6,.500,https://www.sports-reference.com/cfb/schools/army/2023.html
Army,2022,6,6,.500,https://www.sports-reference.com/cfb/schools/army/2022.html
Auburn,2024,5,7,.417,https://www.sports-reference.com/cfb/schools/auburn/2024.html
Auburn,2023,6,7,.462,https://www.sports-reference.com/cfb/schools/auburn/2023.html
Auburn,2022,5,7,.417,https://www.sports-reference.com/cfb/schools/auburn/2022.html
Ball State,2024,3,9,.250,https://www.sports-reference.com/cfb/schools/ball-state/2024.html
Ball State,2023,4,8,.333,https://www.sports-reference.com/cfb/schools/ball-state/2023.html
Ball State,2022,5,7,.417,https://www.sports-reference.com/cfb/schools/ball-state/2022.html
Baylor,2024,8,5,.615,https://www.sports-reference.com/cfb/schools/baylor/2024.html
Baylor,2023,3,9,.250,https://www.sports-reference.com/cfb/schools/baylor/2023.html
Baylor,2022,6,7,.462,https://www.sports-reference.com/cfb/schools/baylor/2022.html
Boise State,2024,12,2,.857,https://www.sports-reference.com/cfb/schools/boise-state/2024.html
Boise State,2023,8,6,.571,https://www.sports-reference.com/cfb/schools/boise-state/2023.html
Boise State,2022,10,4,.714,https://www.sports-reference.com/cfb/schools/boise-state/2022.html
Boston College,2024,7,6,.538,https://www.sports-reference.com/cfb/schools/boston-college/2024.html
Boston College,2023,7,6,.538,https://www.sports-reference.com/cfb/schools/boston-college/2023.html
Boston College,2022,3,9,.250,https://www.sports-reference.com/cfb/schools/boston-college/2022.html
Bowling Green,2024,7,6,.538,https://www.sports-reference.com/cfb/schools/bowling-green-state/2024.html
Bowling Green,2023,7,6,.538,https://www.sports-reference.com/cfb/schools/bowling-green-state/2023.html
Bowling Green,2022,6,7,.462,https://www.sports-reference.com/cfb/schools/bowling-green-state/2022.html
Buffalo,2024,9,4,.692,https://www.sports-reference.com/cfb/schools/buffalo/2024.html
Buffalo,2023,3,9,.250,https://www.sports-reference.com/cfb/schools/buffalo/2023.html
Buffalo,2022,7,6,.538,https://www.sports-reference.com/cfb/schools/buffalo/2022.html
BYU,2024,11,2,.846,https://www.sports-reference.com/cfb/schools/brigham-young/2024.html
BYU,2023,5,7,.417,https://www.sports-reference.com/cfb/schools/brigham-young/2023.html
BYU,2022,8,5,.615,https://www.sports-reference.com/cfb/schools/brigham-young/2022.html
California,2024,6,7,.462,https://www.sports-reference.com/cfb/schools/california/2024.html
California,2023,6,7,.462,https://www.sports-reference.com/cfb/schools/california/2023.html
California,2022,4,8,.333,https://www.sports-reference.com/cfb/schools/california/2022.html
Central Michigan,2024,4,8,.333,https://www.sports-reference.com/cfb/schools/central-michigan/2024.html
Central Michigan,2023,5,7,.417,https://www.sports-reference.com/cfb/schools/central-michigan/2023.html
Central Michigan,2022,4,8,.333,https://www.sports-reference.com/cfb/schools/central-michigan/2022.html
Cincinnati,2024,5,7,.417,https://www.sports-reference.com/cfb/schools/cincinnati/2024.html
Cincinnati,2023,3,9,.250,https://www.sports-reference.com/cfb/schools/cincinnati/2023.html
Cincinnati,2022,9,4,.692,https://www.sports-reference.com/cfb/schools/cincinnati/2022.html
Clemson,2024,10,4,.714,https://www.sports-reference.com/cfb/schools/clemson/2024.html
Clemson,2023,9,4,.692,https://www.sports-reference.com/cfb/schools/clemson/2023.html
Clemson,2022,11,3,.786,https://www.sports-reference.com/cfb/schools/clemson/2022.html
