Team,Year,G,Cmp,Att,Cmp%,Yds,TD,TD%,Int,Int%,Y/A,AY/A,Y/C,Y/G,Rate
Air Force,2024,12,62,138,44.9,1077,5,3.6,10,7.2,7.8,5.27,17.4,89.8,107.9
Air Force,2023,13,55,105,52.4,1105,7,6.7,6,5.7,10.5,9.29,20.1,85.0,151.4
Air Force,2022,13,41,87,47.7,916,8,9.3,2,2.3,10.7,11.47,22.3,70.5,163.2
Akron,2024,12,234,419,56.0,2789,16,3.8,10,2.4,6.7,6.36,11.9,232.4,119.9
Akron,2023,12,258,425,61.0,2371,10,2.4,15,3.5,5.6,4.48,9.2,197.6,108.8
Akron,2022,12,323,502,64.6,3397,15,3.0,12,2.4,6.8,6.31,10.5,283.1,126.8
Alabama,2024,13,226,354,64.0,3073,17,4.8,11,3.1,8.7,8.27,13.6,236.4,146.8
Alabama,2023,14,208,325,64.0,3086,23,7.1,6,1.8,9.5,10.08,14.8,220.4,163.4
Alabama,2022,13,280,438,63.9,3660,37,8.4,8,1.8,8.4,9.22,13.1,281.5,158.3
Appalachian State,2024,11,218,392,55.6,3003,23,5.9,16,4.1,7.7,7.0,13.8,273.0,131.2
Appalachian State,2023,14,300,472,63.7,3830,34,7.2,10,2.1,8.1,8.62,12.8,273.6,151.6
Appalachian State,2022,12,226,359,63.0,3011,28,7.8,6,1.7,8.4,9.19,13.3,250.9,155.8
Arizona,2024,12,262,437,60.0,2975,18,4.1,13,3.0,6.8,6.29,11.4,247.9,124.8
Arizona,2023,13,332,464,71.7,4008,36,7.8,11,2.4,8.7,9.14,12.1,308.3,165.3
Arizona,2022,12,283,459,61.9,3821,26,5.7,13,2.8,8.4,8.22,13.5,318.4,145.2
Arizona State,2024,14,234,382,61.3,3213,26,6.8,6,1.6,8.4,9.07,13.7,229.5,151.2
Arizona State,2023,12,243,440,55.5,2524,8,1.8,14,3.2,5.8,4.69,10.4,210.3,103.5
Arizona State,2022,12,270,403,67.2,3023,18,4.5,9,2.2,7.5,7.41,11.2,251.9,140.6
Arkansas,2024,13,255,414,61.7,3571,16,3.9,9,2.2,8.6,8.44,14.0,274.7,142.8
Arkansas,2023,12,207,323,64.1,2250,22,6.8,8,2.5,7.0,7.21,10.9,187.5,140.1
Arkansas,2022,13,231,357,64.9,3039,26,7.3,7,2.0,8.5,9.11,13.2,233.8,156.8
Arkansas State,2024,13,274,442,62.0,2957,19,4.3,10,2.3,6.7,6.53,10.8,227.5,127.8
Arkansas State,2023,13,208,370,56.2,2938,17,4.6,9,2.4,7.9,7.76,14.1,226.0,133.2
Arkansas State,2022,12,247,396,62.4,2719,16,4.0,5,1.3,6.9,7.11,11.0,226.6,130.9
Army,2024,14,66,122,54.1,1128,10,8.2,4,3.3,9.2,9.41,17.1,80.6,152.3
Army,2023,12,83,164,50.6,1234,7,4.3,11,6.7,7.5,5.36,14.9,102.8,114.5
Army,2022,12,42,104,40.4,920,5,4.8,4,3.8,8.8,8.08,21.9,76.7,122.9
Auburn,2024,12,230,369,62.5,3167,27,7.3,13,3.5,8.6,8.48,13.8,263.9,151.9
Auburn,2023,13,189,317,59.6,2109,18,5.7,13,4.1,6.7,5.94,11.2,162.2,126.0
Auburn,2022,12,159,308,51.6,2072,9,2.9,12,3.9,6.7,5.56,13.0,172.7,110.0
BYU,2024,13,217,379,57.7,3007,21,5.6,14,3.7,8.0,7.44,13.9,231.3,135.9
BYU,2023,12,220,396,55.7,2465,17,4.3,9,2.3,6.2,6.08,11.2,205.4,117.8
BYU,2022,13,257,392,65.7,3246,32,8.2,7,1.8,8.3,9.13,12.6,249.7,158.9
Ball State,2024,12,280,439,63.8,2940,26,5.9,11,2.5,6.7,6.75,10.5,245.0,134.6
Ball State,2023,12,180,304,59.2,1639,9,3.0,9,3.0,5.4,4.65,9.1,136.6,108.3
Ball State,2022,12,287,481,59.7,2742,18,3.7,14,2.9,5.7,5.14,9.6,228.5,114.1
Baylor,2024,13,253,413,61.3,3397,31,7.5,10,2.4,8.2,8.64,13.4,261.3,150.3
Baylor,2023,12,263,442,59.5,3156,15,3.4,7,1.6,7.1,7.11,12.0,263.0,127.5
Baylor,2022,13,247,392,63.0,3009,19,4.8,11,2.8,7.7,7.38,12.2,231.5,137.9
Boise State,2024,14,261,415,62.9,3159,23,5.5,7,1.7,7.6,7.96,12.1,225.6,141.7
Boise State,2023,14,216,372,58.9,3098,20,5.4,13,3.5,8.4,7.94,14.3,221.3,140.7
Boise State,2022,14,229,385,59.8,2668,20,5.2,9,2.3,7.0,6.95,11.7,190.6,130.8
Boston College,2024,13,207,330,62.7,2591,24,7.3,7,2.1,7.9,8.35,12.5,199.3,148.4
Boston College,2023,13,204,361,56.5,2372,15,4.2,14,3.9,6.6,5.66,11.6,182.5,117.7
Boston College,2022,12,262,440,59.7,2965,21,4.8,14,3.2,6.8,6.28,11.3,247.1,125.8
Bowling Green,2024,13,276,419,66.0,3128,20,4.8,6,1.4,7.5,7.79,11.3,240.6,141.8
Bowling Green,2023,13,213,357,59.7,2454,17,4.8,14,3.9,6.9,6.06,11.5,188.8,125.3
Bowling Green,2022,13,266,438,60.7,3051,25,5.7,11,2.5,7.0,6.98,11.5,234.7,133.1
Buffalo,2024,13,194,347,55.9,2422,19,5.5,6,1.7,7.0,7.3,12.5,186.3,129.1
Buffalo,2023,12,212,394,53.8,2222,14,3.6,11,2.8,5.6,5.09,10.5,185.2,107.3
Buffalo,2022,13,273,463,59.0,3059,18,3.9,8,1.7,6.6,6.61,11.2,235.3,123.8
California,2024,13,302,464,65.4,3362,16,3.5,7,1.5,7.3,7.29,11.1,258.6,134.9
California,2023,13,258,434,59.4,2836,22,5.1,16,3.7,6.5,5.89,11.0,218.2,123.7
California,2022,12,291,466,62.4,3216,23,4.9,9,1.9,7.0,7.07,11.1,268.0,133.3
Central Michigan,2024,12,167,302,55.5,1961,11,3.7,12,4.0,6.5,5.45,11.7,163.4,114.3
Central Michigan,2023,12,183,325,56.3,2216,15,4.6,11,3.4,6.8,6.22,12.1,184.7,122.0
Central Michigan,2022,12,219,387,56.7,2497,16,4.1,10,2.6,6.5,6.13,11.4,208.1,119.6
Cincinnati,2024,12,252,395,63.8,2838,18,4.6,7,1.8,7.2,7.3,11.3,236.5,135.6
Cincinnati,2023,12,218,360,60.6,2508,21,5.8,11,3.1,7.0,6.76,11.5,209.0,132.2
Cincinnati,2022,13,248,415,59.9,3155,22,5.3,8,1.9,7.6,7.81,12.7,242.7,137.6
Clemson,2024,14,331,533,62.8,3899,37,7.0,7,1.3,7.4,8.2,11.8,278.5,145.5
Clemson,2023,13,302,474,64.1,2969,20,4.2,9,1.9,6.3,6.29,9.8,228.4,127.3
Clemson,2022,14,298,480,62.2,3253,24,5.0,10,2.1,6.8,6.85,10.9,232.4,131.6
Colorado,2024,13,353,482,73.4,4134,37,7.7,10,2.1,8.6,9.2,11.7,318.0,166.8
Colorado,2023,12,323,474,68.1,3536,29,6.1,4,0.8,7.5,8.3,10.9,294.7,149.3
Colorado,2022,12,179,360,49.7,2075,10,2.8,10,2.8,5.8,5.07,11.6,172.9,101.8
Colorado State,2024,13,236,390,60.5,2853,16,4.1,10,2.6,7.3,6.98,12.1,219.5,130.4
Colorado State,2023,12,311,501,62.1,3678,24,4.8,18,3.6,7.3,6.68,11.8,306.5,132.4
Colorado State,2022,12,203,322,63.0,2361,12,3.7,11,3.4,7.3,6.54,11.6,196.8,130.1
Connecticut,2024,13,222,396,56.1,2579,25,6.3,9,2.3,6.5,6.75,11.6,198.4,127.1
Connecticut,2023,12,219,381,57.5,2284,12,3.1,7,1.8,6.0,5.8,10.4,190.3,114.6
Connecticut,2022,13,157,276,56.9,1455,10,3.6,10,3.6,5.3,4.37,9.3,111.9,105.9
Duke,2024,13,280,467,60.0,3176,28,6.0,13,2.8,6.8,6.75,11.3,244.3,131.3
Duke,2023,13,200,357,56.3,2351,14,3.9,8,2.3,6.6,6.4,11.8,180.8,120.5
Duke,2022,13,255,400,64.1,3010,20,5.0,6,1.5,7.6,7.89,11.8,231.5,141.2
East Carolina,2024,13,258,428,60.4,3432,26,6.1,23,5.4,8.0,6.83,13.3,264.0,137.3
East Carolina,2023,12,208,388,53.7,1967,7,1.8,14,3.6,5.1,3.82,9.5,163.9,95.2
East Carolina,2022,13,323,484,67.0,3776,28,5.8,5,1.0,7.8,8.53,11.7,290.5,149.9
Eastern Michigan,2024,12,249,416,60.0,2832,17,4.1,10,2.4,6.8,6.56,11.4,236.0,126.0
Eastern Michigan,2023,13,197,358,55.0,1976,10,2.8,12,3.4,5.5,4.57,10.0,152.0,103.9
Eastern Michigan,2022,13,244,392,62.4,2911,23,5.9,12,3.1,7.4,7.24,11.9,223.9,138.2
Florida,2024,13,208,342,61.9,2934,18,5.4,14,4.2,8.7,7.93,14.1,225.7,144.6
Florida,2023,12,282,390,72.3,3111,20,5.1,5,1.3,8.0,8.43,11.0,259.3,153.7
Florida,2022,13,199,366,54.7,2910,18,4.9,9,2.5,8.0,7.87,14.6,223.8,133.2
Florida Atlantic,2024,12,205,350,58.7,2503,14,4.0,11,3.2,7.2,6.56,12.2,208.6,125.9
Florida Atlantic,2023,12,265,412,64.6,2586,19,4.6,15,3.7,6.3,5.59,9.8,215.5,125.6
Florida Atlantic,2022,12,217,379,57.4,2726,25,6.6,5,1.3,7.2,7.94,12.6,227.2,137.2
Florida International,2024,12,206,334,61.7,2753,24,7.2,11,3.3,8.2,8.2,13.4,229.4,148.0
Florida International,2023,12,220,383,57.7,2752,12,3.1,12,3.1,7.2,6.44,12.5,229.3,122.5
Florida International,2022,12,271,468,58.2,2625,16,3.4,16,3.4,5.6,4.77,9.7,218.8,109.9
Florida State,2024,12,179,355,50.6,2164,11,3.1,13,3.7,6.1,5.08,12.1,180.3,104.8
Florida State,2023,14,260,433,60.0,3519,25,5.8,4,0.9,8.1,8.87,13.5,251.4,145.5
Florida State,2022,13,249,395,63.2,3512,28,7.1,7,1.8,8.9,9.54,14.1,270.2,158.0
Fresno State,2024,13,300,432,69.6,3152,20,4.6,14,3.2,7.3,6.78,10.5,242.5,139.9
Fresno State,2023,13,337,518,65.3,3669,29,5.6,12,2.3,7.1,7.19,10.9,282.2,138.9
Fresno State,2022,14,336,473,71.5,3788,22,4.7,9,1.9,8.1,8.13,11.3,270.6,150.8
Georgia,2024,14,336,513,65.5,3934,29,5.7,13,2.5,7.7,7.66,11.7,281.0,143.5
Georgia,2023,14,328,457,71.9,4274,29,6.4,7,1.5,9.4,9.95,13.0,305.3,168.6
Georgia,2022,15,336,493,68.4,4438,31,6.3,7,1.4,9.0,9.66,13.2,295.9,162.3
Georgia Southern,2024,13,289,446,65.1,3091,21,4.7,11,2.5,7.0,6.79,10.7,237.8,134.2
Georgia Southern,2023,13,376,577,65.7,3929,26,4.5,20,3.5,6.9,6.2,10.4,302.2,131.4
Georgia Southern,2022,13,374,612,61.2,4288,28,4.6,16,2.6,7.0,6.76,11.5,329.8,130.1
Georgia State,2024,12,271,449,60.4,3069,21,4.7,13,2.9,6.8,6.47,11.3,255.8,127.4
