Team,Year,G,Rushing Att,Rushing Yds,Rushing Y/A,Rushing TD,Rushing Y/G,Rec,Receiving Yds_Rec,Receiving Y/R,Receiving TD_Rec,Receiving Y/G_Rec,Scrimmage Plays,Yds_Scrimmage,Scrimmage Avg,TD_Scrimmage
Air Force,2024,12,664,2688,4.1,24,224.0,62,1077,17.4,5,89.8,726,3765,5.2,29
Air Force,2023,13,702,3660,5.3,36,281.5,55,1105,20.1,7,85.0,757,4765,6.3,43
Air Force,2022,13,776,4247,5.6,37,326.7,41,916,22.3,8,70.5,817,5163,6.4,45
Akron,2024,12,339,1204,3.6,11,100.3,234,2789,11.9,16,232.4,573,3993,7.0,27
Akron,2023,12,339,972,2.9,12,81.0,258,2371,9.2,10,197.6,597,3343,5.6,22
Akron,2022,12,371,1075,2.9,16,89.6,323,3397,10.5,15,283.1,694,4472,6.5,31
Alabama,2024,13,479,2260,4.8,41,173.8,226,3065,13.6,17,236.4,705,5333,7.6,58
Alabama,2023,14,546,2417,4.6,32,172.6,208,3086,14.8,23,220.4,754,5503,7.4,55
Alabama,2022,13,448,2542,5.8,26,195.5,280,3660,13.1,37,281.5,728,6202,8.6,63
Appalachian State,2024,11,376,1692,4.7,13,153.8,218,3003,13.8,23,273.0,594,4695,8.0,36
Appalachian State,2023,14,523,2408,4.7,23,172.0,300,3830,12.8,34,273.6,823,6238,7.6,57
Appalachian State,2022,12,472,2453,5.2,27,204.4,226,3011,13.3,28,250.9,698,5464,7.8,55
Arizona,2024,12,327,1279,4.0,11,106.6,262,2975,11.4,18,247.9,589,4254,7.2,29
Arizona,2023,13,386,1816,4.8,17,139.7,332,4008,12.1,36,308.3,718,5824,8.1,53
Arizona,2022,12,344,1722,5.1,19,143.5,283,3821,13.5,26,318.4,627,5543,8.9,45
Arizona State,2024,14,570,2799,5.0,30,199.9,234,3213,13.7,26,229.5,804,6012,7.6,56
Arizona State,2023,12,364,1343,3.8,17,111.9,243,2524,10.4,8,210.3,607,3867,6.4,25
Arizona State,2022,12,378,1623,4.3,21,135.3,270,3023,11.2,18,251.9,648,4646,7.2,39
Arkansas,2024,13,485,2402,5.0,34,184.8,255,3570,14.0,16,274.7,740,5973,8.1,50
Arkansas,2023,12,467,1668,3.6,9,139.0,207,2250,10.9,22,187.5,674,3918,5.9,31
Arkansas,2022,13,600,3077,5.2,27,236.7,231,3049,13.2,26,233.8,831,6116,7.4,53
Arkansas State,2024,13,477,2040,4.4,18,156.9,274,2957,10.8,19,227.5,751,4997,6.7,37
Arkansas State,2023,13,452,1919,4.3,20,147.6,208,2938,14.1,17,226.0,660,4857,7.4,37
Arkansas State,2022,12,372,1058,3.0,16,88.2,247,2719,11.0,16,226.6,619,3777,6.2,32
Army,2024,14,748,4207,5.7,48,300.5,66,1128,17.1,10,80.6,814,5335,6.6,58
Army,2023,12,566,2496,4.4,19,208.0,83,1233,14.9,7,102.8,649,3730,5.8,26
Army,2022,12,642,3473,5.5,38,289.4,42,920,21.9,5,76.7,684,4393,6.5,43
Auburn,2024,12,399,1986,5.0,13,165.5,230,3167,13.8,27,263.9,629,5153,8.2,40
Auburn,2023,13,501,2457,5.0,22,189.0,189,2109,11.2,18,162.2,690,4566,6.7,40
Auburn,2022,12,481,2470,5.2,25,205.8,159,2072,13.0,9,172.7,640,4542,7.1,34
BYU,2024,13,442,2093,4.8,20,161.0,217,3007,13.9,21,231.3,659,5100,7.8,41
BYU,2023,12,355,1252,3.6,15,104.3,220,2465,11.2,17,205.4,575,3717,6.5,32
BYU,2022,13,427,2296,5.4,19,176.6,257,3246,12.6,32,249.7,684,5542,8.1,51
Ball State,2024,12,369,1234,3.4,10,102.8,280,2940,10.5,26,245.0,649,4174,6.4,36
Ball State,2023,12,469,2058,4.4,15,171.5,180,1639,9.1,9,136.6,649,3697,5.7,24
Ball State,2022,12,408,1868,4.7,14,155.7,287,2742,9.6,18,228.5,695,4610,6.7,32
Baylor,2024,13,484,2324,4.9,25,178.8,253,3397,13.4,31,261.3,737,5721,7.9,56
