Team,Year,Split,G,Cmp,Att,Pct,Yds,TD,Avg,Plays,Pass,Rush,Pen,Tot,No.,Fum,Int
Air Force,2024,Offense,12,5.2,56.1,44.9,28.8,2.0,4.6,67.6,3.3,13.3,1.4,1.3,3.2,0.4,0.8
Air Force,2024,Defense,12,15.6,33.6,64.7,48.4,1.9,5.9,57.7,8.5,7.4,1.1,1.0,5.3,0.7,0.3
Air Force,2024,Difference,,-10.4,+22.5,-19.8,-19.6,+0.1,-1.3,+9.9,-5.2,+5.9,+0.3,+0.3,-2.1,-0.3,+0.5
Air Force,2023,Offense,13,4.2,55.3,52.4,24.8,2.8,5.8,63.4,3.3,14.5,1.8,1.3,3.0,0.8,0.5
Air Force,2023,Defense,13,16.6,29.8,61.7,48.4,0.8,4.9,56.8,8.0,5.7,1.0,1.1,5.3,0.3,0.8
Air Force,2023,Difference,,-12.4,+25.5,-9.3,-23.6,+2.0,+0.9,+6.6,-4.7,+8.8,+0.8,+0.2,-2.3,+0.5,-0.3
Air Force,2022,Offense,13,3.2,61.7,47.1,29.7,2.8,5.8,68.4,2.5,17.2,0.7,1.0,3.9,0.8,0.2
Air Force,2022,Defense,13,13.1,28.2,58.4,32.0,0.8,5.0,50.5,7.0,5.5,0.5,1.2,4.5,0.5,0.7
Air Force,2022,Difference,,-9.9,+33.5,-11.3,-2.3,+2.0,+0.8,+17.9,-4.5,+11.7,+0.2,-0.2,-0.6,+0.3,-0.5
Akron,2024,Offense,12,19.5,28.8,55.8,48.7,0.9,5.2,63.8,9.8,6.2,2.1,1.7,6.3,0.8,0.8
Akron,2024,Defense,12,18.4,39.7,64.4,53.4,1.9,6.1,68.3,10.2,8.7,1.6,0.8,6.7,0.6,0.3
Akron,2024,Difference,,+1.1,-10.9,-8.6,-4.7,-1.0,-0.9,-4.5,-0.4,-2.5,+0.5,+0.9,-0.4,+0.2,+0.5
Akron,2023,Offense,12,21.5,28.8,60.7,60.1,1.0,4.3,64.3,8.1,7.1,1.5,1.8,6.9,0.5,1.3
Akron,2023,Defense,12,15.5,36.9,55.9,45.0,1.9,5.2,64.7,7.9,7.8,2.2,1.0,4.8,0.5,0.5
Akron,2023,Difference,,+6.0,-8.1,+4.8,+15.1,-0.9,-0.9,-0.4,+0.2,-0.7,-0.7,+0.8,+2.1,0.0,+0.8
Akron,2022,Offense,12,26.9,31.1,64.3,60.1,1.3,5.1,72.9,14.0,6.5,2.3,2.2,6.7,1.2,1.0
Akron,2022,Defense,12,17.8,38.2,60.0,64.9,2.1,6.0,67.8,9.8,9.3,2.0,1.1,7.9,0.3,0.8
Akron,2022,Difference,,+9.1,-7.1,+4.3,-4.8,-0.8,-0.9,+5.1,+4.2,-2.8,+0.3,+1.1,-1.2,+0.9,+0.2
Alabama,2024,Offense,13,17.4,37.5,63.8,69.1,3.2,6.3,64.8,9.8,9.7,1.4,1.6,7.3,0.8,0.8
Alabama,2024,Defense,13,18.2,37.5,59.7,47.8,0.8,4.7,67.8,8.6,7.7,2.5,2.2,5.8,0.8,1.3
Alabama,2024,Difference,,-0.8,0.0,+4.1,+21.3,+2.4,+1.6,-3.0,+1.2,+2.0,-1.1,-0.6,+1.5,0.0,-0.5
